,0
Test Statistic,0.8153688792060543
p-value,0.9918802434376411
#Lags Used,13.0
Number of Observations Used,130.0
Critical Value (1%),-3.4816817173418295
Critical Value (5%),-2.8840418343195267
Critical Value (10%),-2.578770059171598
